Priceslist,Vendor,Product,Inventory,Visible,Item Unit,Charge Unit,Package Name,# of Items,Purchase Price,Retail Price,Margin,Markup
herdshare,Camas Country Mill,Camas Pizza Blend,5,Y,ea,package,4 lbs,1,10.3,12,14,17
herdshare,"Creamy Cow, LLC",Raw Cultured Buttermilk,0,Y,ea,package,1 qt,1,11,13,15,18
herdshare,"Creamy Cow, LLC",Raw Farmers Cheese,0,Y,ea,package,12 oz,1,10,11.75,15,18
herdshare,"Creamy Cow, LLC",Raw Fresh Sweet Cream,0,Y,ea,package,1 pt,1,10,11.75,15,18
herdshare,Camas Country Mill,Hollys Dog Biscuit Mix,8,Y,bag,package,3 lb bag,1,10,12,17,20
herdshare,"Creamy Cow, LLC",Raw A2/A2 Milk,0,Y,ea,package,1/2 Gal.,1,15,19,21,27
herdshare,Deck Family Farm,Lamb Bones,,Y,pk,package,3 - 5 Lbs,1,5.2,6.66,22,28
herdshare,Deck Family Farm,Lamb Chops 2 Pack,12,Y,ea,package,2 Pack .7-1.1 Lbs,1,11.7,14.98,22,28
herdshare,Camas Country Mill,Organic Sonora Soft White Wheat Flour,1,Y,ea,package,4 lbs,1,13.3,17.29,23,30
herdshare,Camas Country Mill,Sues Soup Mix,1,Y,ea,package,3 lbs,1,17.4,22.62,23,30
herdshare,Kiko Denzer,Handcrafted Wooden Fancy Egg Pushers,2,Y,ea,package,ea,1,12,15.84,24,32
herdshare,Camas Country Mill,Organic Corn Flour,11,Y,ea,package,2.5 lbs,1,10.6,13.99,24,32
herdshare,Full Farm CSA,Autumn Frost Squash Large,10,Y,ea,package,ea,1,6,7.98,25,33
herdshare,Full Farm CSA,Autumn Frost Squash Small,16,Y,ea,package,ea,1,2.5,3.33,25,33
herdshare,Full Farm CSA,Baby Bok Choi,45,Y,lb,package,1 lb,1,1.75,2.33,25,33
herdshare,Full Farm CSA,Badger Flame Gold Beets,9,Y,lb,package,lb,1,1.25,1.66,25,33
herdshare,RL Plants,Birch Wooden Coasters,1,Y,pk,package,2 pack,1,10,13.3,25,33
herdshare,Elegant Elephant Baking Co.,Blackberry Hand Pie,0,Y,ea,package,each,1,2.95,3.92,25,33
herdshare,Spoiled Rotten Vinegar,Blackstrap Vinegar,4,Y,ea,package,8 fl. oz,1,8,10.64,25,33
herdshare,Camas Country Mill,Blue Cornmeal,0,Y,bag,package,3 lb bag,1,10.2,13.57,25,33
herdshare,Sweet Creek,Blueberry Fruit Spread,18,Y,ea,package,10 oz,1,3.8,5.05,25,33
herdshare,OGC,Bosc Pear,49,Y,ea,package,ea,1,0.75,1,25,33
herdshare,Elegant Elephant Baking Co.,Box of 5 Cupcakes,0,Y,ea,package,each,1,6,7.98,25,33
herdshare,Radiant Coffee Roasters,Brazil Cerrado Miniero - Dark Roast Ground Coffee,4,Y,ea,package,12 oz,1,11,14.63,25,33
herdshare,Lone Wolf Ranch,Broccoli Microgreens,,Y,pk,package,1 oz. pk,1,2.5,3.33,25,33
herdshare,Camas Country Mill,Brown Teff Flour,1,Y,ea,package,4 lbs,1,7.08,9.42,25,33
herdshare,OGC,Celeriac,38,Y,pound,package,1 lb,1,1.7,2.26,25,33
herdshare,Reality Kitchen Nonprofit,Challah Sandwich Loaf,0,Y,ea,package,each,1,6,7.98,25,33
herdshare,Full Farm CSA,Chioggia Beets,3,Y,pound,package,1 Lb,1,1,1.34,25,34
herdshare,River Ranch Oregon Olive OIl,Colliding Rivers Olive Oil Sugar Scrub,8,Y,ea,package,ea 4 oz jar,1,5,6.7,25,34
herdshare,OGC,Crimini Mushrooms,20,Y,lb,package,1 lb,1,3.95,5.25,25,33
herdshare,Lonesome Whistle,Dark Northern Rye Flour,6,Y,ea,package,1.6 lbs,1,4,5.36,25,34
herdshare,RL Plants,Dark Purple Iris Rhizome,4,Y,ea,package,each,1,5,6.65,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA Hat,8,Y,ea,package,ea,1,13,17.29,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA Hoodie Extra-Large,9,Y,ea,package,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA Hoodie Large,5,Y,ea,package,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA Hoodie Medium,10,Y,ea,package,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA Hoodie Small,18,Y,ea,package,ea,1,35,46.55,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA T-Shirt  Extra-Large,3,Y,ea,package,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA T-Shirt Extra Small,4,Y,ea,package,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA T-Shirt Large,37,Y,ea,package,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA T-Shirt Medium,21,Y,ea,package,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Deck Family Farm and Full Farm CSA T-Shirt Small,7,Y,ea,package,ea,1,17,22.61,25,33
herdshare,Full Farm CSA,Delicata Squash,0,Y,ea,package,each,1,1.5,2.01,25,34
herdshare,River Ranch Oregon Olive OIl,Dry Herb Mix,37,Y,ea,package,ea 1 ounce jar,1,7,9.38,25,34
herdshare,Lonesome Whistle,Emmer Farro,4,Y,ea,package,1.25 lb Bag,1,4,5.36,25,34
herdshare,OGC,Fingerling Potato Medley,,Y,bag,package,1.5 lb bag,1,2.62,3.51,25,34
herdshare,River Ranch Oregon Olive OIl,Flavor Infused Olive Oil- Rosemary and Basil 100mL,6,Y,ea,package,3.38oz (100mL),1,10.95,14.67,25,34
herdshare,River Ranch Oregon Olive OIl,Flavor Infused Olive Oil- Rosemary and Basil 250mL,3,Y,ea,package,250mL,1,21.95,29.41,25,34
herdshare,Camas Country Mill,"Garbanzo Beans/ Chickpeas, Organic",5,Y,ea,package,3 lbs,1,10.63,14.14,25,33
herdshare,Lonesome Whistle,Garlic Dill Popcorn,4,Y,ea,package,0.4 lb bag,1,3.33,4.43,25,33
herdshare,Full Farm CSA,Ginger Sesame- Queen of Hearts,1,Y,ea,package,ea,1,7.1,9.44,25,33
herdshare,Elegant Elephant Baking Co.,Gluten Free Dinner Rolls,0,Y,ea,package,bag of 6,1,5.35,7.12,25,33
herdshare,Elegant Elephant Baking Co.,Gluten Free Mixed Berry Pie,0,Y,ea,package,9,1,17,22.61,25,33
herdshare,Full Farm CSA,Green Kabocha,19,Y,ea,package,ea,1,3.5,4.69,25,34
herdshare,Full Farm CSA,Hakurei Turnips,2,Y,lb,package,1 lb.,1,1.65,2.19,25,33
herdshare,Kiko Denzer,Handcrafted Egg Pushers,3,Y,ea,package,each,1,8,10.64,25,33
herdshare,Kiko Denzer,Handcrafted Fancy Wooden Eating Spoons,1,Y,ea,package,each,1,20,26.6,25,33
herdshare,RL Plants,Hen and Chicks Succulents,0,Y,ea,package,each,1,4,5.32,25,33
herdshare,Spoiled Rotten Vinegar,Hibiscus Vinegar,8,Y,ea,package,8 fl. oz,1,8,10.64,25,33
herdshare,Spoiled Rotten Vinegar,Honey Vinegar,5,Y,ea,package,8 fl. oz,1,8,10.64,25,33
herdshare,Full Farm CSA,Leeks,18,Y,bu,package,1 bunch,1,2.5,3.33,25,33
herdshare,Lonesome Whistle,Lemon Lavender Popcorn,1,Y,ea,package,0.4 lb bag,1,3.33,4.43,25,33
herdshare,"Creamy Cow, LLC",Live Culture Yogurt,0,Y,ea,package,8 oz,1,6,7.98,25,33
herdshare,"Creamy Cow, LLC",Live Culture Yogurt,0,Y,ea,package,1 quart,1,10,13.3,25,33
herdshare,"Creamy Cow, LLC",Lucianna Toma Rustica 5 -5.9oz,15,Y,pk,package,5 -5.9oz,1,12.5,16.63,25,33
herdshare,"Creamy Cow, LLC",Lucianna Toma Rustica 6 -7.4oz,10,Y,pk,package,6 -7.4oz,1,13.5,17.96,25,33
herdshare,Small is Beautiful Farm,Mixed Dried Fruit,8,Y,bag,package,1/2 Lb. bag,1,6,7.98,25,33
herdshare,River Ranch Oregon Olive OIl,Morning Mist Olive Oil Sugar Scrub,3,Y,ea,package,ea 4 oz jar,1,5,6.7,25,34
herdshare,Camas Country Mill,Organic 7-Grain Cereal,15,Y,ea,package,3 lbs,1,13.25,17.62,25,33
herdshare,Camas Country Mill,Organic All Purpose Low Gluten Flour,3,Y,ea,package,4 lbs,1,9.35,12.44,25,33
herdshare,Camas Country Mill,Organic Buckwheat Flour,5,Y,ea,package,3 lbs,1,8.9,11.84,25,33
